sku_internal;varian;varian_kosong;stock;umur_stock;avg_daily_sales
APP100672;6;4;0;0;2
APP100673;6;6;0;0;0
APP100674;6;0;446;27;17
APP100675;6;0;188;94;2
APP100676;6;0;447;224;2
APP100677;6;2;143;48;3
APP100678;6;0;163;163;1
APP100679;5;1;461;461;1
APP100680;6;0;375;375;1
APP100681;6;0;233;117;2
APP100682;5;0;286;286;1
APP100683;5;0;198;198;1
APP100684;5;1;112;112;1
APP100685;5;0;231;231;1
APP100686;6;2;121;61;2
APP100687;6;0;348;25;14
APP100688;6;0;182;61;3
APP100689;6;0;272;272;1
APP100690;6;2;183;61;3
APP100691;6;0;232;232;1
APP100692;5;3;141;141;1
APP100693;6;0;228;228;1
APP100694;6;0;149;50;3
APP100695;5;1;85;85;1
APP100696;5;1;108;108;1
APP100697;5;1;97;97;1
APP100698;5;0;322;322;1
APP100699;6;0;181;91;2
APP100700;6;0;174;87;2
APP100701;6;0;186;93;2
APP100702;6;0;321;321;1
APP100703;6;0;206;206;1
APP100704;6;0;226;38;6
APP100705;6;0;136;46;3
APP100706;6;0;235;30;8
APP100707;6;2;69;35;2
APP100708;6;0;390;78;5
APP100709;6;0;195;195;1
APP100710;6;0;374;75;5
APP100711;6;0;332;111;3
APP100712;6;0;286;286;1
APP100713;6;0;185;185;1
APP100714;6;0;393;79;5
APP100715;6;0;228;114;2
APP100716;6;0;322;322;1
APP100717;6;2;0;0;1
APP100718;6;1;193;97;2
APP100719;6;0;165;55;3
APP100720;6;4;0;0;1
APP100721;6;1;284;57;5
APP100722;6;0;91;46;2
APP100723;6;1;72;36;2
APP100724;6;0;30;0;0
APP100725;6;6;0;0;0
APP100726;6;0;378;95;4
APP100728;6;0;207;104;2
APP100727;6;0;70;18;4
APP100738;6;0;207;104;2
APP100740;6;1;150;150;1
APP100741;6;1;189;189;1
APP100742;6;1;61;31;2
APP100743;6;1;392;40;10
APP100744;6;1;37;13;3
APP100745;6;6;0;0;0
APP100746;6;0;112;56;2
APP100747;6;6;0;0;0
APP100748;6;6;0;0;0
APP100749;6;0;154;154;1
APP100750;6;0;193;65;3
APP100751;6;2;192;32;6
APP100752;6;0;207;104;2
APP100753;5;0;67;67;1
APP100754;5;0;130;130;1
APP100755;5;0;103;103;1
APP100756;5;0;179;179;1
APP100757;6;0;160;0;0
APP100758;6;1;89;45;2
APP100729;6;1;160;160;1
APP100730;6;1;54;27;2
APP100731;6;1;99;50;2
APP100732;6;0;150;75;2
APP100733;6;0;109;109;1
APP100734;6;0;81;27;3
APP100735;6;0;166;166;1
APP100737;6;0;108;36;3
APP100736;6;0;108;108;1
APP100771;6;1;302;302;1
APP100770;6;0;444;444;1
APP100781;6;5;0;0;0
APP100779;6;0;81;21;4
APP100780;6;0;160;160;1
APP100762;6;1;164;55;3
APP100763;6;1;204;204;1
APP100774;6;1;139;70;2
APP100775;6;1;52;52;1
APP100764;6;1;176;176;1
APP100784;6;1;165;165;1
APP100785;6;1;192;48;4
APP100759;6;1;169;85;2
APP100772;6;0;107;54;2
APP100773;6;0;209;209;1
APP100782;6;1;161;81;2
APP100761;6;1;126;63;2
APP100783;6;1;74;37;2
APP100760;6;1;202;202;1
APP100776;6;1;192;32;6
APP100777;6;0;143;72;2
APP100778;6;5;0;0;0
APP100767;4;0;299;50;6
APP100766;4;0;278;28;10
APP100765;4;1;40;4;12
APP100769;4;0;74;13;6
APP100768;4;0;36;8;5
APP100739;6;2;0;0;1
APP100786;6;0;49;25;2
APP100787;6;1;88;88;1
APP100788;6;5;0;0;0
APP100789;6;0;278;56;5
APP100790;6;1;38;13;3
APP100791;6;6;0;0;0
APP100792;6;1;161;23;7
APP100793;6;1;90;45;2
APP100794;6;1;124;25;5
APP100795;6;1;138;28;5
APP100796;6;1;100;34;3
APP100797;6;1;110;110;1
APP100798;6;1;49;9;6
APP100799;6;1;113;113;1
APP100800;6;2;112;14;8
APP100801;6;1;30;8;4
APP100802;6;1;156;156;1
APP100803;6;1;125;63;2
APP100804;6;1;121;21;6
APP100805;6;1;118;40;3
APP100806;6;1;107;36;3
APP100807;6;1;113;113;1
APP100808;6;1;103;18;6
APP100809;6;1;139;70;2
APP100810;6;1;146;30;5
APP100811;6;1;75;25;3
ACS022561;8;0;1736;0;0
ACS022559;8;0;1286;0;0
ACS022560;8;0;1462;0;0
ACS021566;8;0;329;14;24
ACS021567;8;0;254;9;31
ACS021002;5;5;0;0;0
ACS020397;5;4;0;0;1
ACS020398;5;5;0;0;0
ACS021004;10;8;0;0;1
ACS021003;10;10;0;0;0
ACS020393;10;2;377;18;22
ACS020395;10;2;944;59;16
ACS020394;10;3;495;55;9
ACS020396;10;2;636;23;28
ACS022126;8;0;440;18;25
ACS021901;8;1;66;66;1
ACS020708;10;1;1152;83;14
ACS020709;10;2;1238;89;14
ACS020710;10;1;1415;236;6
ACS021572;8;4;0;0;1
ACS021573;8;8;0;0;0
ACS021710;8;2;21;21;1
ACS021715;8;7;0;0;0
ACS021716;8;8;0;0;0
ACS020391;8;0;3111;149;21
ACS019729;8;0;1103;123;9
ACS019731;8;2;30;30;1
ACS019730;8;0;1085;543;2
ACS019733;8;0;1908;96;20
ACS019732;8;0;1166;389;3
ACS021328;4;0;313;17;19
ACS021327;4;1;89;4;24
ACS021329;4;1;105;5;23
ACS022130;8;1;147;15;10
ACS022129;8;2;367;29;13
ACS022128;8;0;465;34;14
ACS022127;8;2;336;10;34
ACS022131;8;1;311;6;60
ACS022315;8;2;23;23;1
ACS022558;11;0;4334;4334;1
ACS022132;11;0;2357;27;88
ACS020125;10;3;235;8;31
ACS020219;10;2;362;61;6
ACS021333;10;2;2882;181;16
ACS021332;10;4;307;6;54
ACS021331;10;2;1317;38;35
ACS020408;5;4;0;0;1
ACS020407;5;3;0;0;1
ACS020409;5;3;0;0;1
ACS020406;5;5;0;0;0
ACS020405;5;4;0;0;1
ACS020404;10;2;457;77;6
ACS020402;10;3;263;30;9
ACS020273;10;2;1030;172;6
ACS020403;10;5;30;30;1
ACS020401;10;9;0;0;0
ACS020274;10;1;390;21;19
ACS021334;4;3;0;0;1
ACS021335;4;3;0;0;1
ACS021336;4;2;0;0;1
ACS022441;8;0;834;38;22
ACS022442;8;0;1060;82;13
ACS021755;8;0;218;28;8
ACS021752;8;1;689;138;5
ACS021751;8;0;524;175;3
ACS021754;8;1;96;48;2
ACS021753;8;0;269;54;5
ACS022563;8;8;0;0;0
ACS022564;8;8;0;0;0
ACS022319;4;1;113;12;10
ACS022317;4;0;411;38;11
ACS022318;4;1;49;4;13
ACS022316;4;1;599;43;14
ACS021570;5;0;97;8;13
ACS021571;5;1;229;8;32
ACS021569;5;1;303;31;10
ACS022125;8;0;3982;38;107
ACS020876;5;2;61;0;0
ACS020877;5;4;0;0;1
ACS020882;5;4;0;0;1
ACS020880;5;5;0;0;0
ACS020881;5;4;0;0;1
ACS020891;10;2;353;11;34
ACS020890;10;2;862;36;24
ACS020892;10;2;1103;92;12
ACS020889;10;5;85;85;1
ACS020888;10;2;349;5;70
ACS020871;10;9;0;0;1
ACS020874;10;9;0;0;1
ACS020872;10;3;437;40;11
ACS020887;10;2;390;11;38
ACS020875;10;9;0;0;1
ACS020870;10;1;1026;74;14
ACS020873;10;10;0;0;0
ACS020878;10;2;618;19;34
ACS020883;10;2;448;24;19
ACS020879;10;8;0;0;1
